"sign.s.Control","sign.s.High","sign.s.Low","sign.index","sign.stat","sign.p.value"
1,1,0,4,0.186082683362478,0.6558
1,0,0,1,0.23968637361778,0.3978
0,1,0,2,0.303256646475311,0.2141
0,0,1,3,0.0802908585711205,0.9508
1,1,0,4,0.152623404328041,0.6745
1,0,1,5,0.111520419576566,0.7728
1,0,1,5,0.111103317941814,0.825
0,1,0,2,0.0902731725910594,0.8741
0,0,1,3,0.32405372450758,0.1611
NA,NA,NA,NA,NA,NA
0,0,1,3,0.471158987490522,0.0188
0,1,0,2,0.566550210949853,0.0032
0,1,0,2,0.152164724629797,0.6826
1,1,0,4,0.186027043658818,0.5799
1,0,0,1,0.262612865719445,0.6279
0,1,0,2,0.239045721866879,1
0,1,1,6,0.297044262893002,0.3337
0,0,1,3,0.259725418699203,0.3528
1,0,1,5,0.0653264816705688,0.9277
0,1,1,6,0.281542428925393,0.2884
1,0,0,1,0.0948729258366595,0.8812
0,0,1,3,0.172186222622907,0.6369
1,0,1,5,0.185210791209737,0.5963
1,0,0,1,0.245585635295703,0.392
0,1,0,2,0.4,0.097
1,0,0,1,0.337680701094742,0.141
0,0,1,3,0.152972938855716,0.823
0,1,0,2,0.310073474510207,0.2069
0,1,0,2,0.239045721866879,1
0,0,1,3,0.294476332415885,0.2255
1,0,1,5,0.110041294651787,0.8192
0,0,1,3,0.273732121271431,0.2999
0,1,0,2,0.250070918634115,0.3893
0,0,1,3,0.365679606041706,0.1013
1,0,0,1,0.20761369963435,0.5697
1,0,0,1,0.262612865719445,0.6277
1,0,1,5,0.271398562806035,0.2957
1,0,0,1,0.234264983800069,0.4348
1,0,1,5,0.362556653903605,0.1158
0,1,0,2,0.247427087541902,0.3817
0,1,0,2,0.19548039993352,0.5495
NA,NA,NA,NA,NA,NA
1,0,0,1,0.289343454514741,0.2625
0,1,0,2,0.262666465651776,0.3098
NA,NA,NA,NA,NA,NA
1,0,0,1,0.480809851515873,0.0147
0,1,1,6,0.0612549645110607,0.9602
0,0,1,3,0.395588985298758,0.0175
1,1,0,4,0.320545318208148,0.1787
1,0,0,1,0.351206870837885,0.1106
1,0,0,1,0.218609656660023,0.6671
0,1,0,2,0.412688583744079,0.0474
1,1,0,4,0.167574968342834,0.6931
0,1,0,2,0.317037810068703,0.1957
1,1,0,4,0.313960684279901,0.2364
0,0,1,3,0.195904813385424,0.5381
0,0,1,3,0.406756967523592,0.0388
1,0,1,5,0.332223009045095,0.1518
1,0,1,5,0.107154225907725,0.8585
1,0,0,1,0.262612865719445,0.6277
0,1,0,2,0.130590155623573,0.763
1,1,0,4,0.293058216556418,0.2278
1,0,0,1,0.229784336933493,0.5129
0,1,1,6,0.133476413270013,0.8545
0,0,1,3,0.34615363288378,0.1405
0,1,0,2,0.332076774520746,0.1484
1,1,0,4,0.147514719092122,0.7004
1,0,0,1,0.256864519627174,0.3684
1,1,0,4,0.255113317017016,0.3544
1,0,1,5,0.01410621053311,0.9962
1,0,0,1,0.314119870088075,0.1994
0,0,1,3,0.317899784818276,0.1324
1,0,1,5,0.213092676459002,0.4887
0,1,0,2,0.0400202653903299,1
0,0,1,3,0.166518601278524,0.6183
0,0,1,3,0.203485257451246,0.512
1,1,0,4,0.162517662102736,0.6746
1,1,0,4,0.335029697130245,0.2065
1,0,0,1,0.147741149808885,0.7118
0,1,0,2,0.32045257987463,0.1736
0,0,1,3,0.235526116131153,0.5719
0,1,0,2,0.218794719602753,0.4998
1,1,0,4,0.136548005062152,0.7597
1,1,0,4,0.272056241501911,0.264
1,1,0,4,0.0954344138003313,0.8877
NA,NA,NA,NA,NA,NA
0,1,0,2,0.2616164285446,0.2983
0,0,1,3,0.220993614190422,0.4752
0,0,1,3,0.185340618964565,0.7541
1,0,0,1,0.0460178993308422,0.9431
0,1,0,2,0.183421602335529,0.8986
1,0,0,1,0.0997940265578333,0.8953
1,0,1,5,0.33229668147582,0.1584
NA,NA,NA,NA,NA,NA
0,0,1,3,0.143325106751879,0.7357
0,1,0,2,0.119395006169513,0.796
0,1,0,2,0.294482521613302,0.1829
0,0,1,3,0.219321319819972,0.45
1,1,0,4,0.258795388478357,0.3979
0,1,0,2,0.0333061245657432,0.9806
1,0,0,1,0.309143032489871,0.1816
1,0,1,5,0.248922818459504,0.3887
1,0,0,1,0.0856531267441626,0.8962
1,0,1,5,0.178997346523847,0.6122
0,0,1,3,0.231650355452454,0.6173
NA,NA,NA,NA,NA,NA
0,1,0,2,0.247917742700871,0.5293
0,1,0,2,0.345331915568265,0.2558
0,1,1,6,0.2053501270971,0.5198
0,1,1,6,0.0493191630143485,0.9713
1,0,0,1,0.269244206048319,0.2315
1,1,0,4,0.0984690515774558,0.8565
1,0,0,1,0.108289947025702,0.9341
