"T10-1-S","T10-2-S","T11-1-S","T11-2-S","T12-1-S","T12-2-S","T14-1-S","T14-2-S","T15-1-S","T15-2-S","T16-1-S","T16-2-S","T18-1-S","T18-2-S","T20-1-S","T20-2-S","T23-1-S","T23-2-S","T24-1-S","T24-2-S","T7-1-S","T8-1-S","T8-2-S"
"ASV157",0,0,0,0,6.02106435512478,0,0,0,0,5.85722703898766,0,0,5.7297403160986,5.76787648416104,0,0,0,0,0,6.09625616663818,0,0,0
"ASV158",0,0,0,6.27547900761233,7.23740289555764,0,4.47562579045266,5.07614812242172,0,0,0,6.06531068785364,5.36021443883966,0,5.3254951640779,0,0,0,4.47695149439968,0,0,0,0
"ASV161",0,0,0,5.38410777847897,6.99813209665989,0,0,2.8173665730448,0,6.6202013086451,5.86037308772423,0,0,6.08037341646402,5.12924798051587,0,0,6.05476580343089,6.08972505134628,5.46788027064765,0,0,0
"ASV166",6.95452659351374,6.27444702674131,6.14306950961561,6.35104106630205,6.88753037971549,6.62375487928165,5.1509070048939,5.38336152394849,6.48747834813418,5.90664769720894,0,5.261132010289,6.18252206918112,5.13374956862686,5.5901774431571,7.22787145201393,5.19988740468587,5.42934268768609,6.25815872272949,6.79587549318535,0,5.99691249017163,6.47288334218229
"ASV167",0,5.59399294481677,0,0,0,0,4.63832773322805,3.74988820739412,0,5.00500068105837,6.94660341145819,4.71705698364387,0,0,0,3.05710829145862,0,4.30067162443404,4.79542117068526,0,0,0,0
"ASV180",0,7.53885303727424,0,6.43281333708415,0,6.35032465021987,5.37520100672866,6.54155233308531,5.87733668555407,6.83964917235531,0,5.02797259222807,6.38674065482482,0,5.68856464339274,0,7.70866427041468,7.19385218584232,6.12805058072768,6.01085022810087,0,7.73357851856309,0
"ASV188",0,0,7.69002251365799,5.93312787333752,0,6.59015582366002,4.51805356843853,4.13299616156763,0,5.50603203149944,0,0,5.7467967726031,5.36842186233678,0,0,0,0,0,0,5.00500068105837,0,0
"ASV190",0,6.89053252736262,4.64412645861045,6.72018548069817,6.37087928189012,7.77435330130455,0,5.57322070237771,0,0,0,0,0,0,6.42622910716494,5.9547831296103,0,0,0,4.11204408536181,0,0,0
"ASV191",0,5.97397098846934,5.50768325094557,0,5.73906232908416,0,0,6.59563056314283,6.89594277620783,5.25443218318035,0,6.81694508201339,7.42917596057031,0,4.60729572651089,4.54695095554359,5.03203778035629,0,0,0,0,6.92414431691171,0
"ASV201",0,5.0766924590071,0,0,0,0,5.77570536369647,0,0,3.66870594763941,0,4.42505155627807,0,0,0,0,0,0,0,5.52179891655997,0,0,0
"ASV211",0,0,0,0,0,0,6.83139346857597,6.04297400403472,0,0,0,5.40139360109781,5.10639177188385,0,6.25215674636703,5.70766801405712,0,3.43013959954587,5.31725173650282,0,0,5.94837031709147,0
"ASV219",0,0,0,5.17427052550847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06832541203672,0,0,0
"ASV227",0,5.20082055403923,5.6986843376445,5.85370440747566,0,0,6.88910698715521,7.56122628390478,5.053421399614,5.07584375798351,7.50840228399963,8.70897997447686,7.96745682282528,8.11761290211041,5.47082694573239,0,5.64442184163098,0,6.75592072162179,6.60091517782788,0,3.77381581147789,0
"ASV230",6.79973614797564,0,0,4.85638153836655,0,0,0,5.06085068939045,0,6.08896219039965,0,4.82830857163284,5.56641555221314,0,4.41950450997902,5.24876134305449,0,0,4.90542617228321,0,0,5.88530156320496,6.89195950154655
"ASV231",0,0,0,0,0,0,0,3.38251885876172,4.60679524710354,5.19201877229293,0,0,5.2084194491141,5.25585201024798,3.112668235457,0,0,0,0,5.95967639219692,0,0,0
"ASV236",0,0,6.51039128424181,6.14204855713513,0,0,8.14231389505853,8.04310732087898,6.78878245192644,4.74731144177806,0,4.57842953088192,6.85627278751487,0,0,5.84674504312041,0,6.7048211612606,5.10307810052281,0,0,0,0
"ASV237",0,5.40043933529317,5.17507765650227,6.07995045222972,0,0,4.88520616852365,4.51615558613161,0,7.20620038783386,0,0,0,4.96497883472534,5.41443861516495,5.7735268694904,0,5.21488076999078,5.64783965506812,0,0,5.38115098264851,0
